CustID,Name,Age,Address,Salary
0,hVhSz2yuFJ6lHwMOrAWC,91,1edJwDZnejk2fqIpf,5601
1,kHNfDPDsguNq8KhOJBdz,52,WlXGPLnuA9T4rZE5tyN GClhW5Y,4004
2,M0BAsunTdcFpH1WeW,61,cXqEAxMUYsC1i6bpnaZD3NT,2219
3,hbHALuOvPOCvCWc,53,DIU0nF6fli2yMwKSjsAB,8827
4,7cky4PW8XeVdIy,30,cPldBbewM0dKpHgxVa7fqa3y7nER,5862
5,u97od32UvhLemI,85,Q8VYx1O1NLyNvsbTie5wEeRccG,2359
6,oIcigdkNbR4XIYhTdT,92,YHgy0iO4HUolvhMCvB,2418
7,9VHT9emE1bpnF0MdT,89,hhmCw3O08prYtkMEZF,3328
8,1HcEXJGTcLAjJkDV6,20,ZVBT1MFNhl5dXN4NdFF1O9DiXc4Fda,5522
9,GgotPtqJffqhKepscGL,59,efvPJuAuZbIlLYe W,8308
10,5qPPxAPNPQ1JBQm83eXz,38,SxpSCaZs5LugQfp,2693
11,3KaNmttFfvoQII,27,BiHpZ9IAwupoTD2RP,4313
12,tGJKIQ16xaMitwgkjZ0,90,k2B88KCONK7DmdoVXPRxn,2163
13,09O3d7tK3DHbneI6,54,4k3JDCAho1WObphwwbIUyZ,3091
14,Ljm36TZuCCSIJj45,32,EtANhdlWQaCS6FkmmIfL1uZZVPasI,6091
15,anZe6rJXUw55nIMlqo,79,pilJnEpdHpWfJ6dpLweEA5NJNyLFkD,6398
16,u997SlhtkWIwHIkDx,68,rHkNwlk4KDGmO ofwNWgbp9z7L,4136
17,1va6S1Qms0yPyqeVl,22,XaBB2ZH7XcxeJ3xYASwOgRIVi,8152
18,SsNOExJSkr0z4Efguauc,30,p3sssrwa1n71NtGDRVtNXFkoD,7400
19,cTJI1R2fyg9OGIuyqB3,32,mRdS9QCCZcv35DJHEz,5835
20,sF1vE9zUfs8gm,37,iIvXdmYwWGYSHvo,8683
21,w7akVTb55JTid43i,80,SM9medfaYD0y4PVn0NvaMAE,6957
22,bW8JxjJGUtBAAni,24,fjxTqS92NnlWVlVz,4496
23,hCwG5hmFi8ooYC,84,wLMiTuqTFaiWefSB,3655
24,WQQnh7kggMxVVod,20,vJ6IqmoeGgYS3cK54phsXGNI165V,6465
25,4tUb1sEIfOHKQ,36,P4EOY9Rrbtihpc2DiI,3050
26,LASZx08U8ei7zvTD32RZ,88,jdR0qozTfIxL4JAhkHJYS65iTMS,4411
27,dM7DIU6eCrAXF,49,cSrNXKSaLWjpsMl,1478
28,xejiJeanp8l,64,573q9io 00MWKhM,1790
29,kYiMLUqziHm,50,VZfQJpndPtLGPnhFz,3327
30,Oq1xagZX4sblC,41,0oigZZBh 1GgMF hi0ylnI1hwmUAMC,3804
31,y31IvgOZQk1fL5pyKLlI,30,AkfxzbLTJsLPhmKGwqhb,5653
32,9WhcJ0hlnl4nFB7A2XPB,36,R9b7xlucC81 86BMEmsOvo,7400
33,DCfrJ0FQ4btj,36,hN6Yv2dXs9H7uyoU8rlTnOjP eEEU,9912
34,tUeWp3aITHxm1BjbuxEi,73,TN0aiOC9Rm751AktC7mxYK7 750UGb,8565
35,50PcsZeAyiprZ,48,fRKrpQaArkWkE96zWns 9QPtgswRK8,5471
36,bEVEXXNvDDMES,74,91Lx4Br23YyuIhp CC1E,7216
37,fA9ULTUBg8VnnbDzbU,79,P hcezQ7AuE1efqwSVYhd,4459
38,H2FA649EXDJLt,86,2rKuB7RyFb1mve1Y,8981
39,WHuLGyQpTToCbIeEALio,18,U1FqPJ8dWlnPqd5jS3oZ44KaahP,6522
40,5WJYAr6na4cNN8ASHbci,36,nc31BgSnJeIFLSPNhCg0,1067
41,weUd45tLqD6n,97,F0nCwnVJKUlHjsEm,9308
42,DystjJCAIqITT2v,32,WWME3ndQHTLuDIaXw7NoYgycSh54,9167
43,3m07QS49jhT,45,xAi5iSXhI9Bv4 6658b8iRR,2519
44,WFg8s8cQiX8RsM,57,MVzldBXgF6twillcXekDO5y,7108
45,Nqusso2XNf6xO8qrdPL,49,zHTsaMz2G6BOijmZgkwiv0c,9238
46,tWdrtAqTk1Uft7vj0D,49,Z Z3MMsif8yA4ajZox,1220
47,ubMpxyCE32dTZ6,43,c8RsJATlcQW7mmqdS1hhIfOyq,3704
48,I9AfHFN77yFp,47,iDBR9R4laiYznywszCXd,3588
49,N61GzQptiPklFDWT,85,DmAnGHd13jugBvLcmAp7lRk6qZU,9776
50,69cyD1Havi5oBjj,65,HYG7YN1rTD7vNz6hUZbh,3854
51,eJ3B0C8q1Wr4Ea9Osl,33,wlNcIzU0lHLt0yQ08X,6987
52,iSSozIyavyWT,99,oUtGNAahvvdZGaqT,8588
53,gOhzFpZ3Xjq29kB0E,94,s9H74YErm4WYiRe2Cj,1134
54,jQt1QxzRII8A9es4Qg,65,1DhNrNxwzL3qDwaOsnh,5203
55,V80NgmaceGA,30,RO5lEb3cWMI25sNZU,4702
56,BkM7V9Pf5Q,98,TQO1aUfFHutPAI3RrV4dO,1536
57,ZZJPx9aJIpVE,50,4D9MMe6D7z65 5FrQLkR,9798
58,dozmyBRnsEYGFMkGe,27,tuIcuDHgTCbks5WY7w9va6oBMv,4528
59,4s6GnEOXCuoENF,58,NW7lZVVHEWxX1yBi87PknGHgfdJl,7097
60,3a2v24UYb6,39,i9WpuZlgxzvkmDwHBIEoJ4oY V6V8w,3396
61,DeDu1wGFQ9KtyAB3nel,76,yXbgYCQhxmhbwBanwuPnDz1ZbscslM,8842
62,d6sF3o0DtZ,85,DqC5ARKPXbcWGD9zJDfhJ13GH,5446
63,rmi8EudoBL,90,VD7AqmvLxPkqolhPWt,9051
64,POJpWjVY3YNQ,42,pSK8oR30wm40SPzdheX0fZ7K5I0wtJ,2668
65,egJsQVCH62,89,9kmfGDsMn5ALOZl4jh1cWMYG,2216
66,B6LIdsCu71A3jgdsi,64,tiZdezW59sDxf26 tufArUMgpnO9g,5642
67,AEfsIWzKFrA6,80,ZkWJ6VwdHFCFqgV989V9Dj9AnoUuS,6602
68,NdNzaqFyR4cT,79,j3eJFIcXFz5W0Q5XffqkYyRWSN,9925
69,nZBStNlTH4vj4,46,K4VIkZ4HJEo49jjE,9643
70,78oZNOxVtMhHx,26,DrpukH8NiMu8elN1yz,5789
71,t5MqZWZr0F,32,PZNcPbJNv70zjV6oSx0NkPj,6042
72,hudTgRtzpSd,47,DlZmRxc5rZfDIPNvMUKPeudLZBETl,2825
73,KPndhhcfNXCo2g1V19,84,NCdfp0vRZtzhsaR,5049
74,mWLplxALbDf,81,XScVOBVXHJayjpEPMXAx0544r6n6,5120
75,FdVKBCg5DNMa2,18,iodqSR4fkHMcOYsId,3196
76,KlrAacQDsLI3k,86,HwfmCwPlhccYMIXgXPL5sCIM4y,7558
77,cQIzdWuLmGl,21,xjBdSn05ZGlMATvRe7Vy4 8TU,8481
78,Ng1rjDuuZexguwp,68,OWor0CFEtMdRrBp,9413
79,PM0L46IsIpj95lI,27,PNPzPCSc4jHd39z,2690
80,4I9OCbpBd0KGo0AY7,94,YqaFewibbvXg FZYDZ3D,9564
81,1zCRuPGgvr102,22,IIEVVWxvb5sE5C 26dqIS,8904
82,p9LERMICyq,59,jsypJv8DSrlzAcaPDRAfX06C8xZP,8168
83,WCTC530dCm617pRZjOu,20,AEhFXrX6xIRKSn8N1r,8431
84,ytmXIk0LlOu,22,mSsoDfqGeOFX5PkDZL7XDAnM4U1a8,3319
85,oNugxFkpckrO9Mk8rdF,62,qA594IlAA4miTjBKK6PB36IrphsvYG,9042
86,bLNm6Fd1fc35Sg,25,cuVn8suUOvTbpFK,1059
87,BwKyx2kJzWdN,28,f4EkwXbvusKQXrbJXp  1 oIrd,5552
88,FSm1oFxUjT8ADkEQ,42,k2ou6E0tNVODHFn204,6659
89,mCaZ0luMf8vO,28,tg2iCd0FNdZtdue,9275
90,UqbTfIEQV3ofnC83AR,94,nop XZDYrTtL yqRtJhbT6ep2,2357
